name,Image,dataCountry,country,continent,office,mandateStart,mandateEnd,headOfStateOrGovernment
Vaira Vīķe-Freiberga,,Latvia,,Europe,President,08/07/1999,08/07/2007,Head of state
Tarja Halonen,,Finland,,Europe,President,01/03/2000,01/03/2012,Head of state
Nino Burjanadze,,Georgia,,Europe,Acting President,23/11/2003,25/01/2004,Head of state
Barbara Prammer,,Austria,,Europe,Co-acting President,06/07/2004,08/07/2004,Head of state
Emmanuelle Mignon,,Andorra,,Europe,Representative of the French Co-Prince,06/06/2007,24/09/2008,Head of state
Nino Burjanadze,,Georgia,,Europe,Acting President,25/11/2007,20/01/2008,Head of state
Dalia Grybauskaitė,,Lithuania,,Europe,President,12/07/2009,Incumbent,Head of state
Atifete Jahjaga,,Kosovo,,Europe,President,07/04/2011,07/04/2016,Head of state
Slavica Đukić Dejanović,,Serbia,,Europe,Acting President,05/04/2012,31/05/2012,Head of state
Sylvie Hubac,,Andorra,,Europe,Representative of the French Co-Prince,15/05/2012,05/01/2015,Head of state
Marie-Louise Coleiro Preca,,Malta,,Europe,President,04/04/2014,Incumbent,Head of state
Kolinda Grabar-Kitarović,,Croatia,,Europe,President,19/02/2015,Incumbent,Head of state
Doris Bures,,Austria,,Europe,Co-Acting President,08/07/2016,26/01/2017,Head of state
Kersti Kaljulaid,,Estonia,,Europe,President,10/10/2016,Incumbent,Head of state
Maria Lea Pedini-Angelini,,San Marino,,Europe,Captain Regent,01/04/1981,01/10/1981,Head of state and government
Gloriana Ranocchini,,San Marino,,Europe,Captain Regent,01/04/1984,01/10/1984,Head of state and government
Elisabeth Kopp,,Switzerland,,Europe,Member of the Swiss Federal Council,21/10/1984,12/01/1989,Head of state and government
Gloriana Ranocchini,,San Marino,,Europe,Captain Regent,01/10/1989,01/04/1990,Head of state and government
Edda Ceccoli,,San Marino,,Europe,Captain Regent,01/10/1991,01/04/1992,Head of state and government
Ruth Dreifuss,,Switzerland,,Europe,Member of the Swiss Federal Council,01/04/1993,31/12/2002,Head of state and government
Patrizia Busignani,,San Marino,,Europe,Captain Regent,01/04/1993,01/10/1993,Head of state and government
Ruth Metzler,,Switzerland,,Europe,Member of the Swiss Federal Council,01/01/1999,31/12/2003,Head of state and government
Rosa Zafferani,,San Marino,,Europe,Captain Regent,01/04/1999,01/10/1999,Head of state and government
Maria Domenica Michelotti,,San Marino,,Europe,Captain Regent,01/04/2000,01/10/2000,Head of state and government
Micheline Calmy-Rey,,Switzerland,,Europe,Member of the Swiss Federal Council,01/01/2003,31/12/2011,Head of state and government
Valeria Ciavatta,,San Marino,,Europe,Captain Regent,01/10/2003,01/04/2004,Head of state and government
Fausta Morganti,,San Marino,,Europe,Captain Regent,01/04/2005,01/10/2005,Head of state and government
Doris Leuthard,,Switzerland,,Europe,Member of the Swiss Federal Council,01/08/2006,Incumbent,Head of state and government
Eveline Widmer-Schlumpf,,Switzerland,,Europe,Member of the Swiss Federal Council,01/01/2008,31/12/2015,Head of state and government
Rosa Zafferani,,San Marino,,Europe,Captain Regent,01/04/2008,01/10/2008,Head of state and government
Assunta Meloni,,San Marino,,Europe,Captain Regent,01/10/2008,01/04/2009,Head of state and government
Simonetta Sommaruga,,Switzerland,,Europe,Member of the Swiss Federal Council,01/11/2010,Incumbent,Head of state and government
Maria Luisa Berti,,San Marino,,Europe,Captain Regent,01/04/2011,01/10/2011,Head of state and government
Denise Bronzetti,,San Marino,,Europe,Captain Regent,01/10/2012,01/04/2013,Head of state and government
Antonella Mularoni,,San Marino,,Europe,Captain Regent,01/04/2013,01/10/2013,Head of state and government
Anna Maria Muccioli,,San Marino,,Europe,Captain Regent,01/10/2013,01/04/2014,Head of state and government
Valeria Ciavatta,,San Marino,,Europe,Captain Regent,01/04/2014,01/10/2014,Head of state and government
Lorella Stefanelli,,San Marino,,Europe,Captain Regent,01/10/2015,01/04/2016,Head of state and government
Mimma Zavoli,,San Marino,,Europe,Captain Regent,01/04/2017,01/10/2017,Head of state and government
Vanessa D'Ambrosio,,San Marino,,Europe,Captain Regent,01/04/2017,01/10/2017,Head of state and government
Dame Eugenia Charles,,Dominica,,North America,Prime Minister,21/07/1980,14/06/1995,Head of government
Kim Campbell,,Canada,,North America,Prime Minister,25/06/1993,04/11/1993,Head of government
Claudette Werleigh,,Haiti,,North America,Prime Minister,07/11/1995,27/02/1996,Head of government
Cynthia Pratt,,The Bahamas,,North America,Acting Prime Minister,04/05/2005,06/06/2005,Head of government
